#! dEb_Eb[f,0]/  dP_P[f,1]/   dth[f,2]/    total_chi2[f,3]/    total_redChi2[f,4]/    total_chi2_elec[f,5]/    total_redChi2_elec[f,6]/    total_chi2_prot[f,7]/    total_redChi2_prot[f,8]/ 
-0.001    -0.003    0.0    3587.7368    188.8283    2044.7236    136.3149    1543.0133    1543.0133
0.0002    -0.0035    0.0005    3599.1504    189.429    1803.2713    120.2181    1795.8792    1795.8792
-0.0008    -0.002    -0.0005    3616.1305    190.3227    1794.6457    119.643    1821.4848    1821.4848
0.0008    0.0005    -0.0015    3641.58    191.6621    932.0818    62.1388    2709.4982    2709.4982
-0.0    -0.002    -0.0005    3656.3449    192.4392    1443.5509    96.2367    2212.794    2212.794
0.0008    0.001    -0.0015    3666.9305    192.9963    2415.7545    161.0503    1251.1761    1251.1761
0.001    0.0005    -0.0015    3671.2029    193.2212    769.9194    51.328    2901.2835    2901.2835
0.0006    0.0005    -0.0015    3688.4535    194.1291    1156.281    77.0854    2532.1725    2532.1725
-0.0006    -0.004    0.0005    3688.8091    194.1478    2154.5654    143.6377    1534.2437    1534.2437
-0.0004    -0.004    0.0005    3694.6675    194.4562    2212.0208    147.4681    1482.6468    1482.6468
-0.0004    -0.0015    -0.0005    3704.9871    194.9993    2337.6688    155.8446    1367.3183    1367.3183
-0.0002    -0.0005    -0.001    3711.0854    195.3203    2239.5749    149.305    1471.5105    1471.5105
0.0002    -0.003    0.0    3750.2176    197.3799    2046.8239    136.4549    1703.3937    1703.3937
-0.0008    -0.004    0.0005    3759.447    197.8656    2159.1468    143.9431    1600.3002    1600.3002
-0.0002    -0.004    0.0005    3777.0224    198.7907    2331.513    155.4342    1445.5094    1445.5094
-0.001    -0.002    -0.0005    3797.3179    199.8588    2037.5115    135.8341    1759.8064    1759.8064
-0.0    -0.0035    0.0005    3807.407    200.3898    1861.0859    124.0724    1946.321    1946.321
0.0004    0.0005    -0.0015    3811.8235    200.6223    1442.5171    96.1678    2369.3064    2369.3064
-0.0004    -0.0025    0.0    3814.9854    200.7887    2163.3326    144.2222    1651.6528    1651.6528
0.0002    -0.002    -0.0005    3857.6395    203.0337    1510.8693    100.7246    2346.7702    2346.7702
